cut_id,part_name,qty,material,rough_dimensions_in,final_dimensions_in,operation,grain_direction,tolerance,notes
CUT-001,bowl ring segments,168,hardwood strips,derived estimate 0.9 thick x 2.0 wide x variable length,0.75 ring height x 12-segment mitered ring profile,table saw miter sled then glue-up,circumferential grain preferred,+/-0.5 deg miter before glue,"14 rings from workbook; segment lengths must be generated per ring diameter."
CUT-002,rim ring segments,16,hardwood,derived estimate 0.75 thick x 1.25 wide x 4.25 long,0.5 final rim thickness with 11.25 deg miters,table saw miter sled,circumferential grain preferred,+/-0.5 deg miter,"Workbook uses 16 rim segments and 20.3 in bowl diameter."
CUT-003,through-neck blank,1,straight-grained hardwood,52.5 x 2.25 x 1.0,51.2 x 2.0 x 0.75 interpreted minimum,jointer planer shaping,lengthwise grain no runout,+/-0.03 in final width,"Confirm section before proof load; increase thickness if deflection test fails."
CUT-004,tail anchor backing block,1,hardwood,6.0 x 2.0 x 1.0,derived estimate 5.0 x 1.5 x 0.75,saw drill roundover,lengthwise grain,+/-0.03 in,"Backs up tail ring/bar against neck or internal spine."
CUT-005,bridge blank,1,dense hardwood,7.0 x 3.0 x 1.0,6.0 x 2.5 x 0.75 interpreted,band saw plane notch template,vertical grain preferred,+/-0.02 in height before tuning,"First bridge is sacrificial and should keep extra foot area."
CUT-006,bridge cap strip,1,dense hardwood or bone substitute,6.25 x 0.5 x 0.25,derived estimate 6.0 x 0.35 x 0.125,saw file polish,lengthwise,+/-0.01 in,"Optional replaceable contact surface."
CUT-007,bridge foot pad,3,leather cork felt,derived estimate 3.5 x 1.0 x 0.125,trial pads to fit bridge foot,knife or laser,not applicable,+/-0.03 in,"Cut multiple thicknesses for pressure tests."
CUT-008,hand posts,2,hardwood dowel,derived estimate 8.0 x 1.25 dia,ergonomic length after player mockup,lathe drill fit,lengthwise,+/-0.03 in,"Do not drill final holes until handle reach mockup passes."
CUT-009,head membrane blank,1,hide or synthetic,derived estimate 26.0 diameter,trim after installation,soak stretch tack/lace,not applicable,visual evenness,"Blank must include wrap/tension allowance beyond 20.3 in bowl."
CUT-010,bridge slot template,1,laser plywood or acrylic,8.0 x 2.0 x 0.125,21 slots at about 0.273 in spacing,laser cut,not applicable,+/-0.005 in slot spacing,"Template is for layout only; verify split-bank geometry."
CUT-011,bowl ring sanding fixture,1,MDF or plywood,24.0 x 24.0 x 0.75,derived estimate circle jig for 20.3 in bowl,router/laser template,not applicable,+/-0.06 in,"Used to true ring stack before turning/sanding."
CUT-012,electronics access patch,1,thin hardwood or plate,derived estimate 3.0 x 2.0 x 0.125,fit only if pickup is installed,hand cut,not applicable,+/-0.03 in,"Optional; avoid until acoustic prototype is stable."
