item_id,required_spec,search_terms,supplier_candidates,price_status,date_checked,lead_time_status,substitution_policy,sourcing_risk
BOWL-001,straight-grained dry hardwood suitable for segmented bowl rings with stable glue joints,hardwood strips maple walnut mahogany segmented drum shell,local hardwood dealer; Rockler; Woodcraft,not verified,not checked,not verified,Substitute only after density/workability review,Wood species changes mass damping and structural behavior.
BOWL-003,20.3 in plus wrap allowance hide or synthetic membrane suitable for plucked-string bridge load,goatskin drum head rawhide calfskin synthetic drum head large,drum builders; percussion suppliers; leather supplier,not verified,not checked,not verified,Synthetic acceptable for prototype if documented,Ethical sourcing and cultural presentation require review.
BOWL-004,rounded head-retention hardware or lacing that will not cut membrane,brass upholstery tacks drum lacing cord rawhide lace stainless tacks,hardware supplier; drum repair supplier,not verified,not checked,not verified,Use lacing instead of tacks if rim splitting risk is high,Fasteners can split rim or tear head.
NECK-001,51.2 in straight-grained hardwood neck blank with no runout in load path,hard maple neck blank 52 inch straight grain hardwood,local hardwood dealer; luthier supplier,not verified,not checked,not verified,Do not substitute weak or short-grain stock,Neck failure under string load is a safety risk.
NECK-002,rounded steel/brass tail anchor rated above total string load with no cutting edges,brass ring steel tailpiece harp anchor ring 21 strings,marine hardware; luthier hardware supplier,not verified,not checked,not verified,Substitute only if load-rated and deburred,Unrated jewelry or craft rings are not acceptable.
BRDG-001,dense stable hardwood blank for tall notched bridge with replaceable saddle surface,ebony rosewood maple bridge blank luthier,local hardwood dealer; luthier supplier,not verified,not checked,not verified,Use domestic dense hardwood if protected species risk exists,Protected wood sourcing can create legal and ethical risk.
BRDG-002,compressible but stable bridge foot pad material,leather cork felt bridge pad sheet,craft leather supplier; music repair supplier,not verified,not checked,not verified,Test multiple materials before final,Pad changes tone and head pressure.
HAND-001,two hardwood handles/posts sized for comfortable grip and structural installation,hardwood dowel 1 inch turning blank handles,local hardwood dealer; woodworking supplier,not verified,not checked,not verified,Confirm ergonomics with mockup before buying finished parts,Handle holes can weaken top structure.
STR-001,nylon strings or monofilament gauges revised to safe percent-break targets,harp nylon string gauges monofilament music string,harp string supplier; fishing-line supplier for test only,not verified,not checked,not verified,Do not buy final gauges until tension redesign passes,Wrong gauges can break or overload structure.
STR-002,wound bass strings with known unit weight or manufacturer tension data,wound harp strings custom bass strings unit weight,harp string supplier; custom string maker,not verified,not checked,not verified,Require unit weight data or measured mass per length,Effective density factor is only a model.
ELEC-001,piezo pickup suitable for removable prototype mounting,piezo pickup disk under bridge transducer film,CB Gitty; Cigar Box Nation suppliers; electronics supplier,not verified,not checked,not verified,Optional; omit from acoustic prototype if risk is high,Pickup placement can damp head and invite premature drilling.
JIG-002,laser-safe plywood or acrylic for slot/alignment templates,laser plywood acrylic sheet 1/8 inch,makerspace stock; plastics supplier,not verified,not checked,not verified,Plywood acceptable for shop template,Kerf and humidity can affect string spacing.
